Zip Code,PNODEID
07001,48717
07001,48718
07002,205491
07002,205491
07002,205491
07002,205491
07002,205491
07002,205491
07002,205492
07002,205492
07002,205492
07002,205492
07002,205492
07002,205492
07002,1084378551
07002,1084378551
07002,1084378551
07002,1084378551
07002,1084378551
07002,1084378551
07002,1084378552
07002,1084378552
07002,1084378552
07002,1084378552
07002,1084378552
07002,1084378552
07002,1084378553
07002,1084378553
07002,1084378553
07002,1084378553
07002,1084378553
07002,1084378553
07002,1084378554
07002,1084378554
07002,1084378554
07002,1084378554
07002,1084378554
07002,1084378554
07003,21601622
07003,21601623
07003,21601624
07003,21601625
07004,48737
07004,48738
07004,48739
07004,48740
07005,205518
07005,44460715
07005,48933935
07005,48933937
07006,48737
07006,48737
07006,48737
07006,48737
07006,48738
07006,48738
07006,48738
07006,48738
07006,48739
07006,48739
07006,48739
07006,48739
07006,48740
07006,48740
07006,48740
07006,48740
07008,48687
07008,48687
07008,48688
07008,48688
07009,48621
07009,48621
07009,48621
07009,48622
07009,48622
07009,48622
07009,106856815
07009,106856815
07009,106856815
07010,48713
07010,48714
07011,48666
07011,48666
07011,48667
07011,48667
07012,48594
07012,48595
07012,48596
07012,119117525
07013,48621
07013,48621
07013,48621
07013,48621
07013,48621
07013,48622
07013,48622
07013,48622
07013,48622
07013,48622
07013,106856815
07013,106856815
07013,106856815
07013,106856815
07013,106856815
07014,48634
07014,205495
07014,205496
07016,48592
07016,48592
07016,48592
07016,48592
07016,48593
07016,48593
07016,48593
07016,48593
07017,48741
07017,48742
07017,48743
07018,48933915
07018,48933917
07018,48933919
07018,48933921
07018,48933923
07018,48933925
07020,48676
07021,21601626
07021,21601627
07021,21601628
07021,21601629
07022,48713
07022,48714
07023,48641
07023,48641
07023,48641
07023,48641
07023,48642
07023,48642
07023,48642
07023,48642
07024,48676
07026,41935367
07026,41935369
07026,63381139
07026,67719493
07027,48592
07027,48593
07028,21601622
07028,21601623
07028,21601624
07028,21601625
07029,48643
07029,48644
07030,48652
07030,48652
07030,48652
07030,48652
07030,48653
07030,48653
07030,48653
07030,48653
07031,48603
07031,48603
07031,48604
07031,48604
07031,119117769
07031,119117769
07032,48735
07032,48735
07032,48735
07032,48735
07032,48735
07032,48736
07032,48736
07032,48736
07032,48736
07032,48736
07033,48729
07033,48730
07034,205518
07034,44460715
07034,48933935
07034,48933937
07035,48658
07035,48659
07036,48747
07036,48747
07036,48747
07036,48747
07036,48747
07036,48747
07036,48747
07036,48748
07036,48748
07036,48748
07036,48748
07036,48748
07036,48748
07036,48748
07039,21601626
07039,21601626
07039,21601626
07039,21601626
07039,21601626
07039,21601626
07039,21601626
07039,21601626
07039,21601627
07039,21601627
07039,21601627
07039,21601627
07039,21601627
07039,21601627
07039,21601627
07039,21601627
07039,21601628
07039,21601628
07039,21601628
07039,21601628
07039,21601628
07039,21601628
07039,21601628
07039,21601628
07039,21601629
07039,21601629
07039,21601629
07039,21601629
07039,21601629
07039,21601629
07039,21601629
07039,21601629
07040,48729
07040,48730
07041,48729
07041,48730
07042,21601622
07042,21601623
07042,21601624
07042,21601625
07043,48621
07043,48622
07043,106856815
07044,48694
07044,48695
07045,205518
07045,205518
07045,205518
07045,205518
07045,205518
07045,44460715
07045,44460715
07045,44460715
07045,44460715
07045,44460715
07045,48933935
07045,48933935
07045,48933935
07045,48933935
07045,48933935
07045,48933937
07045,48933937
07045,48933937
07045,48933937
07045,48933937
07046,49366
07046,49367
07047,48713
07047,48713
07047,48713
07047,48713
07047,48713
07047,48713
07047,48713
07047,48713
07047,48714
07047,48714
07047,48714
07047,48714
07047,48714
07047,48714
07047,48714
07047,48714
07050,48741
07050,48742
07050,48743
07052,48741
07052,48741
07052,48741
07052,48741
07052,48741
07052,48741
07052,48741
07052,48741
07052,48741
07052,48741
07052,48742
07052,48742
07052,48742
07052,48742
07052,48742
07052,48742
07052,48742
07052,48742
07052,48742
07052,48742
07052,48743
07052,48743
07052,48743
07052,48743
07052,48743
07052,48743
07052,48743
07052,48743
07052,48743
07052,48743
07054,49366
07054,49367
07055,48594
07055,48595
07055,48596
07055,119117525
07057,48634
07057,205495
07057,205496
07058,48737
07058,48738
07058,48739
07058,48740
07059,49327
07059,49328
07060,48641
07060,48642
07062,48641
07062,48642
07063,48645
07063,48646
07064,48717
07064,48718
07065,1047909
07066,48592
07066,48593
07067,57967459
07067,57967461
07068,21601626
07068,21601627
07068,21601628
07068,21601629
07069,49327
07069,49328
07070,48634
07070,205495
07070,205496
07071,48603
07071,48604
07071,119117769
07072,48634
07072,205495
07072,205496
07073,48634
07073,48634
07073,48634
07073,48634
07073,205495
07073,205495
07073,205495
07073,205495
07073,205496
07073,205496
07073,205496
07073,205496
07074,41935329
07074,41935331
07074,41935333
07074,41935335
07074,83734231
07074,83734233
07074,83734235
07074,1067156503
07074,1067156506
07074,1067156507
07074,1067156511
07074,1107276858
07074,1107276859
07074,1107276860
07074,1107276861
07074,1107276869
07074,1107276870
07074,1107276871
07075,48634
07075,205495
07075,205496
07076,48641
07076,48642
07077,48717
07077,48717
07077,48717
07077,48717
07077,48718
07077,48718
07077,48718
07077,48718
07078,49360
07078,49361
07078,49362
07078,49363
07079,48741
07079,48742
07079,48743
07080,48681
07080,48682
07081,48729
07081,48730
07082,205518
07082,44460715
07082,48933935
07082,48933937
07083,48729
07083,48729
07083,48730
07083,48730
07087,48654
07087,48655
07087,48656
07087,48657
07088,48729
07088,48730
07090,48641
07090,48641
07090,48642
07090,48642
07092,48641
07092,48642
07093,48713
07093,48714
07094,48654
07094,48655
07094,48656
07094,48657
07095,21601635
07095,21601635
07095,21601635
07095,21601636
07095,21601636
07095,21601636
07095,21601637
07095,21601637
07095,21601637
07102,48933915
07102,48933915
07102,48933915
07102,48933917
07102,48933917
07102,48933917
07102,48933919
07102,48933919
07102,48933919
07102,48933921
07102,48933921
07102,48933921
07102,48933923
07102,48933923
07102,48933923
07102,48933925
07102,48933925
07102,48933925
07103,48933915
07103,48933917
07103,48933919
07103,48933921
07103,48933923
07103,48933925
07104,48933915
07104,48933915
07104,48933915
07104,48933915
07104,48933917
07104,48933917
07104,48933917
07104,48933917
07104,48933919
07104,48933919
07104,48933919
07104,48933919
07104,48933921
07104,48933921
07104,48933921
07104,48933921
07104,48933923
07104,48933923
07104,48933923
07104,48933923
07104,48933925
07104,48933925
07104,48933925
07104,48933925
07105,48643
07105,48643
07105,48643
07105,48643
07105,48643
07105,48643
07105,48643
07105,48643
07105,48643
07105,48643
07105,48643
07105,48643
07105,48644
07105,48644
07105,48644
07105,48644
07105,48644
07105,48644
07105,48644
07105,48644
07105,48644
07105,48644
07105,48644
07105,48644
07106,41935345
07106,41935347
07106,41935349
07106,41935351
07107,48933915
07107,48933917
07107,48933919
07107,48933921
07107,48933923
07107,48933925
07108,48933915
07108,48933917
07108,48933919
07108,48933921
07108,48933923
07108,48933925
07109,21601622
07109,21601622
07109,21601623
07109,21601623
07109,21601624
07109,21601624
07109,21601625
07109,21601625
07110,21601622
07110,21601622
07110,21601622
07110,21601622
07110,21601623
07110,21601623
07110,21601623
07110,21601623
07110,21601624
07110,21601624
07110,21601624
07110,21601624
07110,21601625
07110,21601625
07110,21601625
07110,21601625
07111,41935345
07111,41935347
07111,41935349
07111,41935351
07112,41935345
07112,41935347
07112,41935349
07112,41935351
07114,93109
07114,93110
07114,93111
07201,48711
07201,48711
07201,48712
07201,48712
07202,205493
07202,205493
07202,205494
07202,205494
07203,48592
07203,48593
07204,48592
07204,48593
07205,41935345
07205,41935345
07205,41935345
07205,41935345
07205,41935347
07205,41935347
07205,41935347
07205,41935347
07205,41935349
07205,41935349
07205,41935349
07205,41935349
07205,41935351
07205,41935351
07205,41935351
07205,41935351
07206,205493
07206,205494
07208,41935345
07208,41935347
07208,41935349
07208,41935351
07302,48707
07302,48708
07304,48733
07304,48734
07305,205491
07305,205492
07305,1084378551
07305,1084378552
07305,1084378553
07305,1084378554
07306,48733
07306,48733
07306,48733
07306,48733
07306,48733
07306,48733
07306,48733
07306,48733
07306,48733
07306,48734
07306,48734
07306,48734
07306,48734
07306,48734
07306,48734
07306,48734
07306,48734
07306,48734
07307,48733
07307,48734
07310,48707
07310,48707
07310,48708
07310,48708
07401,48744
07401,48744
07401,48745
07401,48745
07401,112586133
07401,112586133
07403,205518
07403,44460715
07403,48933935
07403,48933937
07405,205518
07405,44460715
07405,48933935
07405,48933937
07407,41935367
07407,41935369
07407,63381139
07407,67719493
07410,119117415
07410,119117415
07410,119117415
07410,119117417
07410,119117417
07410,119117417
07410,119117419
07410,119117419
07410,119117419
07416,1048013
07416,1048013
07416,1048013
07416,1048014
07416,1048014
07416,1048014
07417,48650
07417,48650
07417,48651
07417,48651
07418,1048013
07418,1048014
07419,1048013
07419,1048014
07420,48650
07420,48651
07421,1048013
07421,1048014
07422,1048013
07422,1048014
07423,48744
07423,48745
07423,112586133
07424,48658
07424,48659
07430,48744
07430,48744
07430,48744
07430,48744
07430,48744
07430,48744
07430,48744
07430,48744
07430,48744
07430,48744
07430,48744
07430,48745
07430,48745
07430,48745
07430,48745
07430,48745
07430,48745
07430,48745
07430,48745
07430,48745
07430,48745
07430,48745
07430,112586133
07430,112586133
07430,112586133
07430,112586133
07430,112586133
07430,112586133
07430,112586133
07430,112586133
07430,112586133
07430,112586133
07430,112586133
07432,48744
07432,48745
07432,112586133
07435,1048013
07435,1048014
07436,48650
07436,48650
07436,48651
07436,48651
07438,1048013
07438,1048014
07439,1048013
07439,1048014
07440,48658
07440,48659
07442,48650
07442,48651
07444,205518
07444,44460715
07444,48933935
07444,48933937
07446,48744
07446,48744
07446,48745
07446,48745
07446,112586133
07446,112586133
07450,48744
07450,48745
07450,112586133
07452,119117415
07452,119117417
07452,119117419
07456,48744
07456,48745
07456,112586133
07457,48650
07457,48651
07458,48744
07458,48744
07458,48745
07458,48745
07458,112586133
07458,112586133
07460,1048013
07460,1048014
07461,1048013
07461,1048014
07462,1048013
07462,1048013
07462,1048013
07462,1048013
07462,1048014
07462,1048014
07462,1048014
07462,1048014
07463,48744
07463,48744
07463,48745
07463,48745
07463,112586133
07463,112586133
07465,48650
07465,48651
07470,48650
07470,48650
07470,48650
07470,48650
07470,48651
07470,48651
07470,48651
07470,48651
07480,1048013
07480,1048014
07481,48744
07481,48745
07481,112586133
07501,48666
07501,48667
07502,48650
07502,48651
07503,48666
07503,48667
07504,48666
07504,48667
07505,48666
07505,48667
07506,48647
07506,48647
07508,48650
07508,48651
07512,48658
07512,48658
07512,48658
07512,48658
07512,48659
07512,48659
07512,48659
07512,48659
07513,48666
07513,48667
07514,119117415
07514,119117417
07514,119117419
07522,48650
07522,48651
07524,119117415
07524,119117417
07524,119117419
07601,48696
07601,48697
07601,48698
07601,48699
07603,48676
07604,41935367
07604,41935369
07604,63381139
07604,67719493
07605,48676
07605,48676
07605,48676
07605,48676
07605,48676
07605,48676
07606,48696
